iter	Passed	Remaining
0	149	148979
1	151	75828
2	154	51439
3	157	39216
4	160	31916
5	163	27037
6	165	23509
7	168	20861
8	170	18803
9	173	17156
10	175	15808
11	178	14686
12	180	13739
13	183	12927
14	186	12221
15	188	11609
16	191	11069
17	193	10583
18	196	10147
19	199	9755
20	201	9408
21	204	9087
22	206	8791
23	209	8521
24	212	8271
25	214	8038
26	217	7825
27	219	7632
28	222	7446
29	224	7273
30	227	7110
31	229	6954
32	232	6813
33	235	6678
34	237	6547
35	240	6432
36	242	6316
37	245	6207
38	247	6106
39	250	6007
40	252	5913
41	255	5823
42	257	5737
43	260	5657
44	262	5580
45	265	5504
46	267	5432
47	270	5364
48	272	5296
49	275	5233
50	278	5175
51	280	5117
52	283	5061
53	285	5007
54	288	4954
55	290	4903
56	293	4858
57	296	4814
58	299	4774
59	302	4734
60	305	4695
61	307	4655
62	310	4613
63	312	4573
64	315	4534
65	317	4495
66	320	4459
67	322	4423
68	325	4388
69	327	4353
70	330	4320
71	332	4288
72	335	4258
73	337	4229
74	340	4199
75	343	4170
76	345	4141
77	348	4114
78	350	4087
79	353	4061
80	355	4035
81	358	4009
82	360	3985
83	363	3961
84	365	3937
85	368	3913
86	370	3889
87	373	3867
88	375	3844
89	378	3823
90	380	3805
91	383	3786
92	386	3770
93	389	3752
94	391	3732
95	394	3713
96	396	3694
97	399	3675
98	401	3656
99	404	3639
100	406	3621
101	409	3604
102	411	3587
103	414	3570
104	416	3554
105	419	3537
106	422	3522
107	424	3506
108	427	3491
109	429	3475
110	432	3460
111	434	3445
112	437	3434
113	440	3423
114	443	3410
115	445	3396
116	448	3382
117	450	3369
118	453	3355
119	455	3342
120	458	3329
121	460	3315
122	463	3302
123	465	3291
124	468	3278
125	471	3267
126	473	3254
127	476	3242
128	478	3230
129	480	3218
130	483	3206
131	485	3195
132	488	3183
133	490	3172
134	493	3161
135	495	3149
136	498	3140
137	501	3130
138	503	3121
139	506	3110
140	508	3099
141	511	3089
142	514	3081
143	516	3072
144	519	3062
145	521	3052
146	524	3042
147	526	3033
148	529	3024
149	532	3014
150	534	3005
151	537	2995
152	539	2986
153	541	2976
154	544	2967
155	546	2958
156	549	2949
157	551	2940
158	554	2931
159	556	2923
160	559	2914
161	561	2905
162	564	2897
163	566	2888
164	569	2880
165	571	2873
166	574	2865
167	577	2857
168	579	2849
169	582	2841
170	584	2834
171	587	2827
172	589	2819
173	592	2812
174	594	2804
175	597	2797
176	599	2789
177	602	2782
178	604	2774
179	607	2767
180	609	2759
181	612	2752
182	614	2745
183	617	2738
184	620	2731
185	622	2724
186	625	2717
187	627	2710
188	630	2704
189	632	2696
190	635	2690
191	637	2683
192	640	2676
193	642	2669
194	645	2663
195	647	2656
196	650	2649
197	652	2642
198	654	2636
199	657	2629
200	660	2623
201	662	2617
202	664	2610
203	667	2604
204	669	2597
205	672	2591
206	674	2585
207	677	2578
208	679	2572
209	682	2566
210	684	2560
211	687	2554
212	689	2548
213	693	2548
214	697	2546
215	700	2544
216	704	2542
217	709	2543
218	712	2542
219	716	2541
220	720	2540
221	724	2538
222	727	2536
223	731	2534
224	735	2533
225	739	2532
226	742	2530
227	746	2527
228	750	2527
229	754	2525
230	757	2521
231	760	2516
232	763	2513
233	766	2509
234	769	2506
235	772	2502
236	775	2498
237	779	2494
238	782	2490
239	785	2486
240	788	2482
241	790	2477
242	793	2473
243	796	2468
244	799	2465
245	803	2461
246	806	2457
247	809	2453
248	812	2449
249	815	2445
250	818	2441
251	820	2436
252	824	2434
253	827	2430
254	830	2425
255	833	2421
256	836	2417
257	840	2416
258	843	2412
259	846	2408
260	849	2404
261	851	2399
262	854	2395
263	857	2391
264	860	2386
265	863	2383
266	866	2378
267	869	2374
268	872	2370
269	874	2365
270	877	2360
271	880	2355
272	883	2352
273	885	2347
274	888	2342
275	891	2338
